epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        22, 8651.512,    0.001,         0.029185,       0.00011194,        0.0020039,           0.0313,        0.879,         1.89,        0.079,        0.117,        0.376,        0.495,         0.026961,       0.00011377,         0.001008,         0.028083,        0.848,          1.8,       0.0807,        0.118,         0.28,        0.351
        23, 9042.787,    0.001,         0.029103,        0.0001109,        0.0019695,         0.031183,        0.878,         1.89,       0.0785,        0.116,        0.369,         0.49,         0.025796,       0.00011701,        0.0020466,          0.02796,         0.82,         1.76,       0.0799,         0.12,        0.421,        0.501
        24, 9434.049,    0.001,          0.02913,       0.00011002,        0.0017499,         0.030989,        0.875,         1.89,       0.0779,        0.116,        0.354,        0.462,         0.025693,       0.00010248,        0.0026773,         0.028473,        0.824,         1.75,       0.0755,        0.112,        0.437,        0.572
        25, 9825.434,    0.001,         0.029062,       0.00011054,        0.0015599,         0.030732,        0.873,         1.88,       0.0779,        0.116,        0.339,        0.436,         0.030625,       0.00010866,        0.0010016,         0.031735,        0.998,         1.91,       0.0747,        0.115,        0.275,         0.35
        26, 10216.461,    0.001,         0.029059,       0.00010682,        0.0018439,          0.03101,        0.876,         1.88,        0.077,        0.114,        0.364,        0.475,         0.026387,       0.00010035,        0.0022343,         0.028721,        0.853,         1.78,       0.0744,        0.111,        0.424,        0.523
        27, 10607.925,    0.001,         0.028728,       0.00011193,        0.0017686,         0.030608,        0.867,         1.87,       0.0782,        0.117,        0.352,        0.465,         0.027094,       9.2705e-05,        0.0018494,         0.029036,        0.863,          1.8,       0.0728,        0.106,        0.372,        0.476
        28, 10999.544,    0.001,          0.02874,        0.0001072,         0.001541,         0.030388,        0.866,         1.87,       0.0769,        0.114,        0.332,        0.434,          0.02657,       0.00012447,       0.00098337,         0.027678,        0.885,         1.78,        0.082,        0.123,        0.279,        0.347
        29, 11391.092,    0.001,         0.028781,       0.00010977,        0.0017197,          0.03061,        0.863,         1.87,       0.0773,        0.116,        0.349,        0.458,         0.026083,       9.8507e-05,        0.0013544,         0.027536,        0.806,         1.77,       0.0764,         0.11,        0.325,        0.407
        30, 11782.493,    0.001,         0.028696,       0.00010847,        0.0014203,         0.030224,        0.867,         1.87,        0.077,        0.115,        0.322,        0.416,         0.028445,       0.00012326,        0.0011815,         0.029749,        0.886,         1.85,       0.0814,        0.123,        0.309,         0.38
        31, 12173.695,    0.001,         0.028685,        0.0001116,        0.0015375,         0.030334,        0.865,         1.87,       0.0781,        0.117,        0.332,        0.433,         0.026723,       0.00012438,        0.0043491,         0.031196,        0.861,         1.79,       0.0808,        0.123,        0.598,         0.73
        32, 12564.992,    0.001,         0.028624,       0.00010938,         0.001409,         0.030142,        0.862,         1.87,        0.077,        0.116,         0.32,        0.415,         0.028176,       0.00011253,       0.00090538,         0.029194,        0.914,         1.83,       0.0754,        0.117,        0.253,        0.333
        33, 12956.578,    0.001,         0.028519,       0.00011229,        0.0013318,         0.029963,        0.863,         1.87,       0.0777,        0.117,        0.313,        0.403,         0.025044,       0.00011125,        0.0023922,         0.027548,        0.795,         1.73,        0.078,        0.117,          0.4,        0.542
        34, 13347.909,    0.001,         0.028449,        0.0001107,        0.0012901,          0.02985,        0.864,         1.86,       0.0765,        0.116,        0.305,        0.397,         0.026855,       0.00010231,         0.001018,         0.027975,        0.825,          1.8,       0.0769,        0.112,        0.271,        0.353
        35, 13739.216,    0.001,         0.028466,       0.00010736,        0.0012646,         0.029838,        0.861,         1.86,       0.0762,        0.114,        0.302,        0.393,         0.025656,       0.00010561,        0.0008837,         0.026646,        0.814,         1.75,       0.0759,        0.114,        0.254,        0.329
