epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
        88, 4313.875,    0.001,         0.031034,       3.6354e-05,          0.03107,        0.859,         1.95,       0.0416,       0.0669,         0.031499,       4.2314e-05,         0.031541,        0.898,         1.97,       0.0458,       0.0722
        89, 4363.017,    0.001,         0.030968,       3.8213e-05,         0.031007,        0.866,         1.95,       0.0434,       0.0686,         0.031116,       3.4358e-05,          0.03115,        0.876,         1.96,       0.0384,        0.065
        90, 4411.980,    0.001,         0.030924,       3.6677e-05,         0.030961,        0.863,         1.95,       0.0421,       0.0672,         0.031258,       3.8337e-05,         0.031296,        0.883,         1.97,       0.0424,       0.0687
        91, 4460.761,    0.001,         0.030839,       3.7548e-05,         0.030877,        0.865,         1.95,       0.0428,        0.068,         0.030987,       3.5591e-05,         0.031023,        0.867,         1.96,       0.0403,       0.0662
        92, 4509.417,    0.001,         0.030925,       3.7939e-05,         0.030963,        0.863,         1.95,       0.0431,       0.0683,         0.031174,       3.4839e-05,         0.031209,        0.871,         1.96,       0.0392,       0.0655
        93, 4558.041,    0.001,         0.030833,       3.9266e-05,         0.030873,        0.864,         1.95,       0.0437,       0.0695,         0.031687,       3.8384e-05,         0.031726,        0.912,         1.98,       0.0425,       0.0688
        94, 4606.833,    0.001,         0.030867,       3.7015e-05,         0.030904,        0.863,         1.95,        0.042,       0.0675,         0.031401,       4.3005e-05,         0.031444,        0.902,         1.97,       0.0462,       0.0728
        95, 4655.541,    0.001,         0.030915,       3.9462e-05,         0.030955,        0.866,         1.95,       0.0444,       0.0697,         0.031234,       3.7758e-05,         0.031272,         0.87,         1.96,       0.0413,       0.0682
        96, 4704.370,    0.001,         0.030861,       3.8074e-05,         0.030899,        0.862,         1.95,        0.043,       0.0685,         0.031242,       3.7118e-05,         0.031279,        0.862,         1.96,       0.0416,       0.0676
        97, 4753.329,    0.001,         0.030929,       3.8484e-05,         0.030968,        0.862,         1.95,       0.0437,       0.0688,         0.031195,       3.7436e-05,         0.031233,        0.882,         1.96,       0.0418,       0.0679
        98, 4802.548,    0.001,         0.030883,         4.01e-05,         0.030923,        0.866,         1.95,       0.0445,       0.0702,         0.031241,       3.6093e-05,         0.031277,        0.861,         1.96,       0.0402,       0.0667
        99, 4851.466,    0.001,         0.030826,       3.8111e-05,         0.030865,        0.863,         1.95,       0.0434,       0.0685,         0.031644,       4.4156e-05,         0.031688,         0.92,         1.98,       0.0469,       0.0737
       100, 4900.500,    0.001,          0.03083,       3.9152e-05,         0.030869,        0.866,         1.95,       0.0441,       0.0694,         0.031214,       3.9935e-05,         0.031254,        0.872,         1.96,       0.0442,       0.0701
